ViajeId;DISTAlt1;TIEMPOAlt1;CONG_A1;CFM A1;DISTAlt2;TIEMPOAlt2;CONG_A2;CFM A2;DISTAlt3;TIEMPOAlt3;CONG_A3;CFM A3;DISTEC;TIEMPOEC;CONGESTION;CFM EC;CHOICE
{FF005782-5CC3-E811-914C-74867AD5B714};5.3;14;3;;4.9;17;3;;6;20;3;;575.874.127.198.576;223.039.499.998.093;2;;4
{01023F7A-67C3-E811-914C-74867AD5B714};8;24;3;;7.2;28;3;;6.8;29;3;;597.650.183.766.384;524.813.833.316.167;6;;3
{FDB0C585-72C3-E811-914C-74867AD5B714};3.4;14;3;;3.4;17;3;;0;0;0;;426.755.344.517.911;215.946.666.677.793;2;;4
{E2CCCECA-74C3-E811-914C-74867AD5B714};3.2;13;3;;3.8;17;3;;0;0;0;;349.593.049.972.492;409.307.166.695.595;3;;4
{04B1F452-BDC5-E811-914C-74867AD5B714};5.1;11;2;;5.4;16;3;;5.3;17;3;;434.436.271.383.387;241.902.833.342.552;2;;3
{5F709AE7-C0C5-E811-914C-74867AD5B714};4.8;16;3;;6;17;3;;6.4;22;3;;47.980.092.515.459;375.235.500.017.802;6;;4
{116C5EFA-C6C5-E811-914C-74867AD5B714};5;14;3;;5.9;16;3;;5.3;15;3;;535.162.929.150.614;204.066.666.682.561;3;;3
{3819A850-CBC5-E811-914C-74867AD5B714};8.3;28;3;;9.3;32;3;;8.8;34;3;;745.356.234.115.071;393.309.500.018.756;6;;4
{46B58ADA-CFC5-E811-914C-74867AD5B714};6.1;16;2;;6.3;22;3;;7.5;24;3;;610.965.101.808.025;270.566.666.682.561;2;;4
{985A5633-D5C5-E811-914C-74867AD5B714};4.5;12;2;;5.5;15;2;;5.4;15;2;;406.307.001.669.738;934.950.000.047.684;1;;1
{5528961E-D7C5-E811-914C-74867AD5B714};5.1;16;3;;4.9;15;3;;5.4;16;3;;426.042.704.409.423;177.356.666.644.414;3;;2
{2CA75D4B-DBC5-E811-914C-74867AD5B714};5.1;15;2;;7.3;16;2;;6.7;18;2;;473.736.064.190.911;177.182.666.699.092;1;;1
