"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr"
"gamma_CONG_EF",-9.87333292332752e-07,-9.42185003314481e-07,-0.000132717162930208,2.33646550216232e-07,-3.14939369962696e-06,2.76653855917759e-05,-1.03989353451345e-05,9.33317112630406e-06,-6.75102698224866e-08,7.73042302105068e-06,-2.81451014644152e-05,-3.1835078593463e-05,1.03352528323207e-05,-6.89951045952001e-06,-6.65692648784603e-06,4.33415296029986e-05,-1.54502240335719e-05,0.000167608629269676,0.00284466477959649,-0.00135434736801361,0.0235494456421562,-0.00495783529188702,-0.000219378178306104,-0.000184076083388072,2.3976562922727e-05,-0.000138620333804093,9.15831392390562e-05,5.42930986481095e-05,-0.000366431269390536,-5.93322022734375e-06
"gamma_SININFO",1.24572611253379e-06,1.0132579854513e-06,0.000153685444188752,-2.94587112614031e-07,3.35134722495566e-06,-2.6350773363064e-05,1.46270350177463e-05,-1.05265222411887e-05,4.11659566928508e-09,-9.20528850718578e-06,3.1098599628328e-05,3.23751573420269e-05,-1.42798895931628e-05,6.19385485331381e-06,6.98890887245084e-06,-5.07030528617058e-05,1.97437172603782e-05,-0.000198586359130082,-0.00559022441507796,-0.00624734155782503,-0.00495783529188702,0.0125901904334567,-0.000111607043118556,5.94856272392535e-05,-0.000196607174052964,-1.9182222476498e-05,4.49476866604683e-05,-0.0001673871983855,0.000238233281709426,-5.01408717504256e-05
"zeta_FRbr",-2.68444437159287e-07,-1.99503108190174e-07,-3.56134840798903e-05,4.89353478826738e-08,-7.23922616648421e-07,6.88857245894421e-06,-3.55103972857489e-06,3.08947059098114e-06,5.51820411391369e-09,2.02064990961074e-06,-7.34956152514712e-06,-9.31583271097125e-06,3.96762138289083e-06,-5.56310725432249e-07,-5.48756765653492e-07,1.16995181427788e-05,-4.35539410189662e-06,3.78241428054178e-05,-0.000630913308906854,0.000397069279485263,-0.000219378178306104,-0.000111607043118556,0.00183263784614228,0.000734486439656553,0.000865225493703114,0.000827037195648599,-0.00037930749931517,0.00011672915090146,9.20431775700725e-05,2.02757892428454e-05
"zeta_EnfCond",-2.4519824243061e-07,-1.34145855814314e-07,-3.56776908089127e-05,3.05946586384314e-08,-6.79866327201894e-07,8.07522043403403e-06,-3.56781536275882e-06,3.05186453658598e-06,-2.47626414602313e-08,2.06635291454356e-06,-8.03842761117036e-06,-9.80065316504295e-06,2.47359783460707e-06,-2.05039231950044e-06,-1.77069554209398e-06,1.20240663397438e-05,-4.44191099338288e-06,4.16223631394269e-05,-0.000589054587507379,0.000137892418952356,-0.000184076083388072,5.94856272392535e-05,0.000734486439656553,0.0017754128551077,0.000678463755049145,0.000623819236278087,4.33607356034044e-05,-0.000132002306107718,-8.77213630293632e-06,4.74471530583207e-06
"zeta_AFrSem",-2.46257131551827e-07,-1.44552088118935e-07,-3.58113197548625e-05,2.58574899413227e-08,-7.190606795809e-07,7.94339189177241e-06,-3.44409481990327e-06,2.61653814346353e-06,-1.22672545761452e-08,2.06382961885742e-06,-8.36182743379685e-06,-9.16645573208558e-06,3.61927417056583e-06,-1.47913535643773e-06,-1.3266513299212e-06,1.18984902753354e-05,-4.51297978380418e-06,4.05558229209092e-05,-0.000526329069788578,0.000354110526992098,2.3976562922727e-05,-0.000196607174052964,0.000865225493703114,0.000678463755049145,0.00143746156726156,0.000717131506819586,8.23061941432447e-05,6.97749641602607e-05,-0.000272575190407548,3.32122522575648e-05
"zeta_CulFr",-3.83713289620241e-07,-2.66715578011335e-07,-5.57389638386264e-05,5.88591254199696e-08,-1.09264836404947e-06,1.12749916468255e-05,-5.06236405088062e-06,4.55744844975765e-06,-2.28079245773966e-08,3.26358757853271e-06,-1.24933642068795e-05,-1.53114347616749e-05,6.1215029482742e-06,-1.83624863453637e-06,-1.57104647544886e-06,1.84256976010577e-05,-7.12109454956852e-06,6.61291449076011e-05,-0.000640164091999831,0.00029135541188185,-0.000138620333804093,-1.9182222476498e-05,0.000827037195648599,0.000623819236278087,0.000717131506819586,0.00310854084334078,-2.04651292716932e-05,4.80253355282988e-05,2.37490345600491e-05,-0.000214919158738809
"sigma_FRbr",-5.27260976956569e-08,1.56462745984456e-08,-1.21741857432683e-05,-1.43664211441157e-08,-2.132311310799e-07,3.77837604874396e-06,-9.73650229988111e-07,5.82105057351399e-07,-3.43125002802222e-08,7.60706766995292e-07,-3.78291316320193e-06,-3.29425134669859e-06,3.30871969090584e-07,-1.83771052269052e-06,-1.55407041735578e-06,4.27425948657114e-06,-1.72002038188069e-06,1.81258690396814e-05,-4.84872912831787e-05,-0.000114546029546261,9.15831392390562e-05,4.49476866604683e-05,-0.00037930749931517,4.33607356034044e-05,8.23061941432447e-05,-2.04651292716932e-05,0.00097725409920894,-0.000114899608851344,-0.000274171049086466,-2.54526405724353e-05
"sigma_EnfCond",8.64073125654481e-09,-2.68988969937062e-08,2.52674137180861e-06,4.21737507935929e-09,1.11052622283552e-08,-1.25988960697762e-06,3.86239983159793e-07,-4.03446707347375e-07,1.97655539520432e-08,-1.61418787520807e-07,7.37510280977652e-07,1.19911208712452e-06,1.10499442654554e-06,1.10200280160829e-06,8.98115303328251e-07,-1.07626626594022e-06,2.92201485024889e-07,-4.79340983782553e-06,7.45438137107286e-05,0.000175181155373388,5.42930986481095e-05,-0.0001673871983855,0.00011672915090146,-0.000132002306107718,6.97749641602607e-05,4.80253355282988e-05,-0.000114899608851344,0.000776849755357684,-3.25957796304393e-05,1.97263135168061e-06
"sigma_AFrSem",-3.32482438256565e-08,-5.41938550257533e-08,-2.62930059056391e-06,2.34722724223933e-08,-4.09754657264537e-08,-2.93612422264365e-07,-3.05949016630501e-07,8.04618362285797e-07,4.41210258351127e-09,1.46501366193329e-07,3.0430416928538e-07,-1.19628311519403e-06,1.322933563746e-07,3.63354917980681e-07,3.19433200478221e-07,8.36013008105748e-07,-2.55942073840748e-07,2.29065711749202e-06,-0.000117736736118972,-0.000102211132904472,-0.000366431269390536,0.000238233281709426,9.20431775700725e-05,-8.77213630293632e-06,-0.000272575190407548,2.37490345600491e-05,-0.000274171049086466,-3.25957796304393e-05,0.000735189739567089,-5.36174912813973e-05
"sigma_CulFr",1.25689637551455e-07,9.69928803822486e-08,1.91360053543961e-05,-2.17435648848425e-08,3.65083919360452e-07,-3.62155999664988e-06,1.54818588996575e-06,-1.58377854118162e-06,1.2121133401145e-08,-1.15139295183834e-06,4.37609178844573e-06,5.62742739013937e-06,-2.4315966226389e-06,5.63725138207777e-07,4.34164719173412e-07,-6.28857784276249e-06,2.53048766409518e-06,-2.46788565656254e-05,8.62685746173171e-05,-6.95096519483966e-06,-5.93322022734375e-06,-5.01408717504256e-05,2.02757892428454e-05,4.74471530583207e-06,3.32122522575648e-05,-0.000214919158738809,-2.54526405724353e-05,1.97263135168061e-06,-5.36174912813973e-05,0.00133330528843651
