"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","logLike"
-1.09354943564827,-1.93938014848976,-0.370024982415352,0.0950713662448829,-0.248507326187399,-0.529689505132334,0.154951449090975,-0.21374071087969,0.0587570762974325,-0.0834141769716737,0.106297311045403,-0.369328076221202,1.61898493502993,0.834008116747351,0.546978906607069,1,-0.0647459524940344,-0.331476896732543,-0.0185432723500153,-0.540592707791842,3.4554816596407,2.60775741848844,3.41997375395377,2.28196448269638,-4.14880319543828,0.163589016207708,0.824356226749463,4.52604382766865,-3.22454130220266,0.169636571451612,1.4720952911161,3.75515258963846,-4.18713884818963,0.723624079862632,1.59846564140489,5.60421578122788,-3.96835753379309,-1.63835231246601,0.081346658907075,2.79470603760794,-1778.58004690668
-1.28566249926767,-1.92972887986607,-0.301469232864809,0.089499246572705,-0.206475762291277,-0.61823251395492,0.152661010293682,-0.361338865836199,0.0605798001893414,-0.0725867898122831,0.187280563890842,-0.519388571086064,1.60340198336272,0.728658668461925,0.487247741833045,1,-0.102651290498757,-0.270423800027063,0.107451788414229,-0.568402417879898,3.51992335936392,2.57510358726374,3.66892831008383,2.2754389877777,-4.23744213931103,0.287364415284473,0.965208680340668,4.5171411021343,-3.22059083838026,0.042141309381847,1.24630847452591,3.89142557673701,-4.19243717895069,0.583012991216493,1.47206644163327,5.62300556549035,-3.89084864738681,-1.5496874883952,0.0387490967580467,2.96654300918462,-1774.16745392296
-1.4063275097717,-1.98093958518867,-0.297395030839371,0.0915712890944632,-0.20586144951548,-0.729404622026194,0.163767418061201,-0.501182289879974,0.0528233552504555,-0.0203394752561321,0.284814711838381,-0.946306113348514,1.40645217551889,0.16085045071388,0.0846224461968901,1,-0.390999297451562,-0.307508837249177,0.0249908139559995,-0.370835564701415,3.59502597881403,2.92293355136177,3.80269139003513,2.1443388659447,-4.39742173272538,0.0314206740288375,0.729587271244438,4.62209937704167,-3.06439066865459,0.150461484320698,1.44568165147361,4.15990704463385,-4.65958588627814,0.366038473920213,1.11616388188223,5.65464469377828,-3.6773272375322,-1.60166383023966,-0.292627916481256,3.05624265362562,-1772.1987353836
-1.42494927296597,-2.10521147852743,-0.309610539202286,0.0929016960392581,-0.201499049510339,-0.753574688037771,0.160674439749313,-0.535925508952552,0.0444715750749866,0.0186128783949139,0.326698411997416,-1.24291860815837,1.19298751283551,-0.326209628671372,-0.288611907926472,1,-0.274478006167376,-0.436641063667688,-0.0411806408175081,-0.420862218404376,3.73661457267097,2.848585587858,4.06214905254073,2.053481891846,-4.5095977203534,-0.279003131520133,0.490150033439497,4.72925336516199,-3.34055541320384,0.361837206207675,1.65194752621048,4.38347817215138,-4.96718103042501,0.10654898549415,1.00613474207126,5.6842460025586,-3.65487239401215,-1.5429644855479,-0.461321385683509,3.01418242166973,-1762.26220540311
-1.49778381331531,-2.19733047490969,-0.289110484322627,0.0878325191180681,-0.190969783367286,-0.639116266335749,0.166848280562901,-0.435065485148727,0.036756530285491,0.0253988345395327,0.28604950120722,-1.24675168514787,0.994946072948192,-0.536213276806424,-0.477710288121215,1,-0.234289353407727,-0.335821436920355,0.148457789989239,-0.639869743115952,3.72440046393798,2.95253450338033,4.16547452911469,2.01872149949111,-4.71854857890014,-0.451197543633232,0.362296069122978,4.81405780945149,-3.38672611029531,0.381375973635858,1.68677625319574,4.47429558831646,-5.19822763715399,0.12422029386734,1.03200220292818,5.74074304887954,-3.83406065091362,-1.47014451608091,-0.34310817841807,2.86576885219234,-1755.16135687135
-1.54998887769085,-2.26786481095578,-0.331260794022693,0.0861110488762662,-0.184916278290314,-0.451857609982526,0.161228945710439,-0.291377435275732,0.0302956415731199,0.0118633449712337,0.203672266014917,-1.0537743474201,0.786155007260989,-0.56621549707487,-0.524527641973561,1,-0.337856320724797,-0.293977718372056,0.275669112196826,-0.656890059658479,3.9121164677938,2.89721858738874,4.17999889460743,2.00023573143003,-4.80920449068024,-0.496152949402798,0.373610018422479,4.89674462354345,-3.4813314672105,0.308458296501282,1.56808964642751,4.5020105883799,-5.363612853353,0.21650388029688,1.20073678344107,5.851838102147,-3.86684083896766,-1.51668229145158,-0.478966253515957,2.73430415696417,-1749.20188803968
-1.61646353005246,-2.3984684771343,-0.378942608069271,0.0892919530651354,-0.185936437072305,-0.21787227682771,0.147789079263426,-0.141156407664359,0.0210184935355826,-0.0106401313250404,0.089298800806641,-0.690558398139332,0.493555482739095,-0.50270170958307,-0.475424841228398,1,-0.162313827560894,-0.456448125478812,0.219514992796198,-0.62717347580597,3.93256683454203,2.95307858318694,4.3483770966921,1.99799099455763,-5.0889997470922,-0.516710408454966,0.39820839129968,5.04978540128249,-3.41642081249149,0.163453213894794,1.38054917297778,4.47721854892967,-5.36676527513777,0.361872075128669,1.41208236269257,6.05942092676937,-3.87302175786496,-1.60436352586965,-0.737955249541002,2.61243949868944,-1745.68905866585
-1.66071596483278,-2.46395286497352,-0.352359976190893,0.0854093678784959,-0.17078835270189,-0.235367735164066,0.139749257500622,-0.179879267696549,0.0178165261189132,-0.0134977778269984,0.0772532107429556,-0.560630692307157,0.422271087515239,-0.418270165438409,-0.377812856017462,1,-0.164260470058593,-0.431844281292348,0.136622899960153,-0.601190580989327,4.0051575327514,2.92986468721471,4.34437220100357,2.02142912668011,-5.09280936219405,-0.521973809511964,0.40095624418022,5.12534638794742,-3.38489872083564,0.205209457772178,1.36626853058473,4.40914380138866,-5.31756439355821,0.382147232634005,1.42069101752498,6.18023815611087,-3.94885704301922,-1.57201838879531,-0.695278375315851,2.65997308758583,-1743.27375654539
-1.68060453276592,-2.50434530513717,-0.406677258536553,0.0824784431447531,-0.174744279636343,-0.329652683090414,0.133421307039479,-0.242945876582859,0.0158573215043406,-0.0130082910612186,0.0915358321871034,-0.452454814601854,0.405539827518674,-0.265192477942281,-0.269684467976776,1,-0.133312136858829,-0.411525193146587,0.23540147289715,-0.644858922611233,4.05667145971747,2.89515608598561,4.32814525727645,2.01509926314865,-5.16463119004816,-0.490723736462473,0.464109242227456,5.25512279992211,-3.38603465324892,0.284789199492754,1.47081693674769,4.27858014072049,-5.29175239220098,0.406509874928816,1.46946154810199,6.36592366421866,-3.94366406173944,-1.59771498922317,-0.688961505643201,2.79558567466734,-1740.38650315539
-1.7876730933988,-2.67388101626433,-0.521500107392986,0.0756262945460879,-0.157464561481302,-0.567746387078307,0.103602148970451,0.046174178280074,0.0196965253179724,-0.0238995032900062,0.153355707684355,-0.62924689784769,0.923948156811756,0.11105335546572,-0.26476114003668,1,-0.0918443960102869,-0.326889650297894,0.196902955646274,-0.683946936936892,4.25032389984979,2.77166494205008,4.44101935700072,1.90466409949694,-5.26631605923522,-0.426074949572722,0.593586202118795,5.77225881622579,-3.32792075110066,0.322893214696786,1.42672296144135,4.04937917041308,-5.31902950144299,0.632896248598449,1.76279674992763,6.95983366899362,-3.75464036106094,-1.4043424014929,-0.472361421881232,2.84685752518708,-1735.1637518287
-1.81284022157058,-2.72655772463311,-0.556799420627872,0.0747282940833778,-0.151624767874321,-0.555354639425076,0.0947255383497679,0.00297420127990235,0.0182775762612551,-0.0301600285146856,0.140050007851703,-0.64554008273041,1.05282986195909,0.0713478320523631,-0.112613135271583,1,-0.0902201134798288,-0.354097951757218,0.23972418497796,-0.654935678340109,4.29096047970588,2.74716273581932,4.49270112317362,1.86621935724411,-5.29543788721719,-0.406512506240811,0.631648543384783,5.89775447057379,-3.32988709432594,0.339136086385361,1.4318702901023,4.04703879105717,-5.37183280463721,0.681157443225346,1.82813284145978,7.09695190313274,-3.70284732462029,-1.34176306886298,-0.39418351287652,2.7861193760488,-1733.47659257792
