"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","logLike"
3.0618571158943,0.209095571025975,3.12827183771046,0.0855616378202784,-0.229844969611942,0.110086220041987,-0.515715263666939,-1.38633595430484,-0.845807339440662,-1.83658205289279,0.197133549724222,0.345035821733786,0.0746106643998923,-0.459840749018999,0.682085006944244,-0.0178065446361878,-1.42870192606921,-0.706517859613016,1.48742942848679,0.702747962821965,-0.980827743788515,-0.914863429559367,1.52586450724379,0.529585790590334,-1.15887130539608,-0.376433417949156,1.03553943733534,0.388323119258778,-0.189988798388207,-294.356728665065
3.27643579680458,0.181324332093006,3.28433353234797,0.0843356312646976,-0.237664309460632,0.0348376986683542,-0.547426089943017,-1.3724780031888,-0.816572668997165,-2.00484718895434,0.176290708709076,0.330043391718386,0.062567469024134,-0.535540216853351,0.815293124787061,0.119630581355372,-1.48375941056505,-0.796729084938948,1.5831896344075,0.826704577177409,-1.02209378584889,-0.978920288113248,1.7019176779601,0.66160706195498,-1.17821759966125,-0.468483012646091,1.14316385201853,0.53133447427892,-0.251945753688991,-294.204176011112
4.08593019159966,0.14559130593725,4.046668855631,0.0808106715516806,-0.268548371090607,0.122868529692177,-0.494640283210168,-1.29076096787021,-0.747612559813464,-2.76486572614563,0.325885472422502,0.255709111059007,-0.012446029495384,-0.902776451984059,1.46275141124391,0.76816221996012,-1.63061620308875,-1.12404794161738,2.12370764894706,1.46865690840089,-1.18265373125488,-1.28619529437131,2.26921973440086,1.15361455910914,-1.32633992596467,-0.74169377681448,1.82217539697438,1.04985359184733,-0.370955768057094,-293.901657770966
4.15663660748723,0.135426920442176,4.11631235491512,0.0804068544117299,-0.274001878720884,0.162629581444149,-0.487413637378246,-1.29034187729631,-0.750773656113724,-2.85131508403247,0.299091877762991,0.26536957426293,-0.00062968162185284,-0.91980621050701,1.53665087826184,0.832818083532468,-1.62818565227363,-1.1437101488272,2.19793761427873,1.47370382614148,-1.20449309456784,-1.3069504288521,2.35336545196134,1.2756277255171,-1.34445674900948,-0.747355602667957,1.87863913248158,1.13101934281723,-0.38859698810492,-293.835078896607
4.15769280769026,0.0685035415792628,4.15543750251226,0.0801644251485785,-0.279388211865593,0.140155102289944,-0.500943914156798,-1.32876195583117,-0.781233962318726,-2.99731597836517,0.213208646985703,0.302969864590443,0.0446652993826193,-0.843665562710391,1.67453539553469,0.903659207594255,-1.65126922242681,-1.04413407676254,2.370764098584,1.57077338639287,-1.20252441114289,-1.22454951818843,2.53252933949435,1.32881126696316,-1.33836192816471,-0.617018331465609,1.91391250590632,1.36360340651462,-0.352921763762551,-293.751102905039
4.15255907711144,0.0589387374329261,4.16744467178376,0.0802293501057759,-0.281424198744922,0.125642419294556,-0.509047444159445,-1.33501658699128,-0.800725708729441,-3.02956837927741,0.18343265364459,0.295235363574502,0.0365067614489357,-0.813775228757978,1.70513660357375,0.914875789004468,-1.63483430293473,-1.02108062113688,2.39863030741316,1.60491955808549,-1.19611122557662,-1.20350567733533,2.55749573825709,1.36563937119459,-1.33103006573227,-0.593562985247573,1.95695859710951,1.35114746531054,-0.351439400483521,-293.72019777754
4.16498064762362,-0.0154033213948831,4.26740049281901,0.0799605702234311,-0.279160753191188,0.13216458961418,-0.508869298581962,-1.35545989994042,-0.813006653744771,-3.21581270252945,0.198810456730154,0.232717902752585,-0.0329876450189424,-0.710254707998535,1.87206782477609,1.01531085440089,-1.53214307927723,-0.943536032932411,2.57670650970706,1.68791614541977,-1.14072561505439,-1.13364393341672,2.71433071863303,1.47513690244188,-1.28836663411945,-0.539491586931917,2.13978037247206,1.37984781276023,-0.340280962270684,-293.661110861481
4.21010558972474,-0.109696857836399,4.29049170140814,0.0816634853480176,-0.281962031259402,0.122964132710533,-0.507446841987566,-1.35589487663954,-0.816784389478264,-3.45503015258097,0.217793510530843,0.286471280583196,0.028877176894372,-0.661114379511811,2.11945281798123,1.14991832761454,-1.5268122520586,-0.886167457609293,2.76334103230091,1.80673352880559,-1.11056744085313,-1.06249991688614,2.90391747525579,1.59929365615152,-1.2452208825324,-0.448225990763779,2.41077937890813,1.42913256427939,-0.274994800208759,-293.633642803221
4.22081377084902,-0.20592463091341,4.30327762669643,0.081870797731832,-0.281001616923263,0.132298448152385,-0.50401298320061,-1.35656897317214,-0.799534764520984,-3.57538536300796,0.228377108322256,0.286016978778607,0.027500924520605,-0.623943964969578,2.22615066750657,1.18278633922853,-1.48929327650313,-0.86344481442433,2.89846998227723,1.84734576118851,-1.08973544166328,-1.05156624179134,3.02648357966791,1.60205818803405,-1.2381647599296,-0.463436052255274,2.48378873531817,1.47079598288248,-0.291717639761347,-293.60785778126
4.22259235200374,-0.415468268504595,4.33515582200062,0.0801666382023924,-0.272613428348553,0.115229692287522,-0.507123722028428,-1.33899269223345,-0.789788131885307,-3.80734536521075,0.241111891077602,0.228187725271935,-0.034490808373902,-0.636142446451504,2.45311192405236,1.22785171748317,-1.49120011845491,-0.849475283354339,3.10637353431894,1.8064370525165,-1.05800697410585,-1.02866348576468,3.25883173829082,1.58869252175656,-1.20088230470252,-0.4478828082281,2.67142371893454,1.54343428096638,-0.248577569074094,-293.595570049367
